4,4142,2746,2198,3000
6,3322,1827,1644,1700
8,2100,1387,1205,1300
10,1694,1276,1173,1250
12,1375,1297,1188,1250
14,1317,1329,1049,1150
16,1251,1086,882,900
18,1224,739,641,800
20,1133,723,580,650
22,1097,922,653,700
24,1077,812,599,650
26,1038,841,645,700
28,1050,791,709,800
30,1156,874,723,850
32,1204,879,813,800
